date,confirmed,recovered,deaths,active
2020-02-23,78291,23397,2467,52427
2020-02-24,78859,25229,2627,51003
2020-02-25,79713,27907,2707,49099
2020-02-26,80676,30378,2767,47531
2020-02-27,82035,33272,2810,45953
2020-02-28,83423,36704,2867,43852
2020-02-29,85317,39775,2937,42605
2020-03-01,87695,42711,2991,41993
2020-03-02,89674,45595,3080,40999
2020-03-03,92274,48217,3154,40903
2020-03-04,94576,51160,3249,40167
2020-03-05,97394,53786,3342,40266
2020-03-06,101310,55824,3455,42031
2020-03-07,105407,58318,3559,43530
2020-03-08,109345,60655,3799,44891
2020-03-09,113526,62455,3989,47082
2020-03-10,118349,64362,4265,49722
2020-03-11,126008,66674,4609,54725
2020-03-12,131807,68003,4918,58886
2020-03-13,146158,69930,5410,70818
2020-03-14,157253,72297,5831,79125
2020-03-15,168529,75706,6481,86342
2020-03-16,183314,77761,7168,98385
2020-03-17,199316,80505,7984,110827
2020-03-18,218854,82992,8902,126960
2020-03-19,245951,84633,10018,151300
2020-03-20,276831,87078,11513,178240
2020-03-21,308943,91325,13235,204383
2020-03-22,344073,97542,14919,231612
2020-03-23,386738,98030,16876,271832
2020-03-24,427796,107649,19184,300963
2020-03-25,478883,113166,22008,343709
2020-03-26,541729,121528,25048,395153
2020-03-27,606621,130312,28533,447776
2020-03-28,676282,138823,32369,505090
2020-03-29,733177,148273,35846,549058
2020-03-30,798453,163609,39927,594917
2020-03-31,875260,177199,44659,653402
2020-04-01,958161,192466,50670,715025
2020-04-02,1041058,209589,56562,774907
2020-04-03,1125370,225011,62740,837619
2020-04-04,1184294,245417,68720,870157
2020-04-05,1255395,259246,73963,922186
2020-04-06,1329263,275951,79898,973414
2020-04-07,1398644,299212,88207,1011225
2020-04-08,1481948,328085,95034,1058829
2020-04-09,1569264,353332,102901,1113031
2020-04-10,1654648,375069,110317,1169262
2020-04-11,1729102,401305,116603,1211194
