date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,2,0,0,2
2020-03-09,2,0,0,2
2020-03-10,5,0,0,5
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,16,0,0,16
2020-03-14,18,0,0,18
2020-03-15,18,0,0,18
2020-03-16,20,0,0,20
2020-03-17,24,0,0,24
2020-03-18,29,0,0,29
2020-03-19,39,0,1,38
2020-03-20,54,0,1,53
2020-03-21,60,0,1,59
2020-03-22,75,1,3,71
2020-03-23,89,1,3,85
2020-03-24,114,1,4,109
2020-03-25,173,2,5,166
2020-03-26,197,2,6,189
2020-03-27,227,2,6,219
2020-03-28,278,2,8,268
2020-03-29,312,2,8,302
