date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,1
2020-01-28,3,0,0,3
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,1,0,0,1
2020-02-01,3,0,0,3
2020-02-02,2,0,0,2
2020-02-03,2,0,0,2
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,1,0,0,1
2020-02-08,0,0,0,0
2020-02-09,1,0,0,1
2020-02-10,0,0,0,0
2020-02-11,2,0,0,2
2020-02-12,0,0,0,0
2020-02-13,0,1,0,-1
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,11,0,-11
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,2,0,-2
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,1
2020-02-26,10,1,0,9
2020-02-27,19,1,0,18
2020-02-28,2,0,0,2
2020-02-29,31,0,0,31
2020-03-01,51,0,0,51
2020-03-02,29,0,0,29
2020-03-03,37,0,0,37
2020-03-04,66,0,0,66
2020-03-05,220,0,0,220
2020-03-06,188,1,0,187
2020-03-07,129,1,0,128
2020-03-08,241,0,0,241
2020-03-09,136,0,2,134
2020-03-10,281,0,0,281
2020-03-11,451,7,1,443
2020-03-12,170,0,0,170
